LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-121.6507073,36.7149509,143,HARDEN PARKWAY,G,Salinas,,,93906,,025f60ff17f307ee
-121.6437271,36.7156101,6,RHINE CIRCLE,,Salinas,,,93906,,f44cf921dc3c780e
-121.7257781,36.5358184,346,CORRAL DE TIERRA ROAD,,Salinas,,,93908,,9ecb1f0ecfd9d3d4
-121.7716284,36.6639886,2520,MINUTEMAN COURT,,Marina,,,93933,,604fe2c16c4d651e
-121.1295819,36.2162601,423,N 3RD STREET,,King City,,,93930,,5dc47b0d44666b96
-121.1307319,36.2186635,614,N 3RD STREET,,King City,,,93930,,ab2a51747490e22a
-121.1304236,36.2173318,523,N 3RD STREET,,King City,,,93930,,c8da50bf5ab2271e
-121.1308465,36.2188406,618,N 3RD STREET,,King City,,,93930,,7bbede7ba1301612
-121.1305017,36.2183706,606,N 3RD STREET,,King City,,,93930,,b46bd5fc114a5fb2
-121.1288642,36.2153328,327,N 3RD STREET,,King City,,,93930,,791aec770999371c
-121.1304469,36.2183011,604,N 3RD STREET,,King City,,,93930,,884e6d11a8d93130
-121.1306123,36.2175732,529,N 3RD STREET,,King City,,,93930,,f3f31ec193204898
-121.129188,36.2157593,401,N 3RD STREET,,King City,,,93930,,3487b6caac150b4a
-121.3182906,36.4224317,230,2ND STREET,,Soledad,,,93960,,9207b1dbe9a0e930
-121.3179729,36.4227539,260,2ND STREET,,Soledad,,,93960,,81852e68a7f12448
-121.4405549,36.5054919,120,1ST STREET,,Gonzales,,,93926,,5d3231bcfaaf47e0
-121.4426268,36.5057604,27,2ND STREET,,Gonzales,,,93926,,bce63b91fc66ccb4
-121.4432158,36.5076146,120,4TH STREET,,Gonzales,,,93926,,97418cfe269732ea
-121.1278842,36.2167541,415,N 2ND STREET,,King City,,,93930,,6c7d3a1167d0d684
-121.1286747,36.2150968,319,N 3RD STREET,,King City,,,93930,,41ae29a7d16a4be8
-121.7717119,36.6582417,3218,GETTYSBURG COURT,,Marina,,,93933,,b7bcbd091fb09b46
-121.7717117,36.6582434,3219,GETTYSBURG COURT,,Marina,,,93933,,421c9e475a3e64d2
-121.7720686,36.6581652,3220,GETTYSBURG COURT,,Marina,,,93933,,d8eab2e4ba978760
-121.7721624,36.6581452,3222,GETTYSBURG COURT,,Marina,,,93933,,c7e50dee744ad25a
-121.7721617,36.6581466,3223,GETTYSBURG COURT,,Marina,,,93933,,ac055be3e2645a64
-121.7724595,36.6580402,3225,GETTYSBURG COURT,,Marina,,,93933,,874228bb48229608
-121.7725352,36.6580097,3226,GETTYSBURG COURT,,Marina,,,93933,,16a94688231f76e4
-121.603623,36.6794914,21,SILVERWOOD PLACE,,Salinas,,,93905,,4a9ca1e2924324d4
-121.5984911,36.6911835,1059,BISON WAY,,Salinas,,,93905,,4c5077646b2089a8
-121.6837278,36.6826184,10,DAVIS ROAD,,Salinas,,,93908,,59443f5089097d02
-121.7788997,36.5725618,411,ESTRELLA AVENUE,,Monterey,,,93940,,3b2653b4cb8d1544
-121.6549867,36.7086204,128,W ALVIN DRIVE,B,Salinas,,,93906,,7c04eec51aa7a338
-121.9017652,36.5376643,4000,RIO ROAD,86,Carmel,,,93923,,d5379511cc5f3254
-121.6437086,36.6586254,1060,SAN MARINO WAY,27,Salinas,,,93901,,db48c0e3d950c1e8
-121.7303005,36.472868,12,BUENA VISTA DEL RIO,,Carmel Valley,,,93924,,3a1c4fa178aef7e6
-121.7679577,36.576462,304,PASADERA DRIVE,,Monterey,,,93940,,25a8c8317ee79606
-121.7815977,36.571928,401,ESTRELLA D'ORO,,Monterey,,,93940,,fe748e82a99ba49a
-121.7853123,36.5796282,110,CIRCULO DE CASITAS,,Monterey,,,93940,,dbae9353e5d0d010
-121.7681807,36.5766315,400,LAS LADERAS DRIVE,,Monterey,,,93940,,bc64ecd10fff1772
-121.7776594,36.578459,809,TESORO COURT,,Monterey,,,93940,,1f93546498396e3a
-121.7887599,36.5747125,10520,YORK ROAD,,Monterey,,,93940,,22f11823ccd8e424
-121.6485133,36.6829173,150,SHERWOOD DRIVE,84,Salinas,,,93901,,2bd2b2de586783a8
-121.6725733,36.4074442,36304,CACHAGUA ROAD,,Carmel Valley,,,93924,,5906ec1353e5957e
-121.501353,36.6162507,26496,ENCINAL ROAD,,Chualar,,,93925,,4c10259981ba6d2a
-121.8446605,36.5964927,917,BORONDA WAY,,Monterey,,,93940,,8d26e43056f2546c
-121.9265262,36.6070361,703,TIMBER TRAIL,,Pacific Grove,,,93950,,7c23dbf4806c4f96
-121.6106472,36.6890426,945,DEL MONTE AVENUE,A,Salinas,,,93905,,900b2ee058bf57d0
-121.6054912,36.7010533,1346,NEW HAMPSHIRE COURT,12,Salinas,,,93905,,74490442f6020664
-121.6112265,36.6827239,518,TOWT STREET,,Salinas,,,93905,,743d0747d45757c4
-121.6273767,36.6842065,563,ST GEORGE DRIVE,,Salinas,,,93905,,60fbeff0da47fbbc
-121.6084748,36.6825412,604,NEW DEAL STREET,,Salinas,,,93905,,e378f88d8b95b826
-121.6078278,36.6736306,142,SYCAMORE ROAD,,Salinas,,,93905,,38ba1b081d67ed42
-121.6249607,36.6831221,856,N MADEIRA AVENUE,,Salinas,,,93905,,9c6ae04a6c04458c
-121.6013801,36.6763213,26,ARGENTINE PLACE,,Salinas,,,93905,,a906e2a65a4a1378
-121.6046764,36.6851355,737,BURKE STREET,,Salinas,,,93905,,c73f2dc2489a57e6
-121.6335251,36.6697971,660,JOHN STREET,,Salinas,,,93905,,e316a9ae61a3d92c
-121.8019569,36.5327679,25555,,,Carmel,,,93923,,a58affc4d9a10806
-121.1302556,36.2185023,607,SYCAMORE STREET,,King City,,,93930,,179cc5c9e1e87a7e
-121.9492955,36.570487,3302,SEVENTEEN MILE DRIVE,,Pebble Beach,,,93953,,fbc7c131e05883e6
-121.4437513,36.5128894,430,EIGHTH STREET,,Gonzales,,,93926,,60d71d808731d224
-121.6505474,36.7049288,424,NOICE DRIVE,35,Salinas,,,93906,,0b938070870ece50
-121.6585606,36.7180922,552,NORTHRIDGE MALL,,Salinas,,,93906,,a8051dbc4a133436
-121.5954036,36.6879947,1456,MUSTANG COURT,,Salinas,,,93905,,286b6db458e4c21c
-121.623745,36.7026771,11,WHITE RIVER CIRCLE,,Salinas,,,93906,,82d9ed68ee13e136
-121.601237,36.7010238,1577,COTTONWOOD DRIVE,,Salinas,,,93905,,ff2259dac9ec8632
-121.5954456,36.6832236,4,TUSCANY CIRCLE,,Salinas,,,93905,,23a0b1d7cab3c780
-121.6003791,36.6814759,1557,VERONA COURT,,Salinas,,,93905,,84ba50bdcac0cefe
-121.6133718,36.6921487,1207,RIDER AVENUE,,Salinas,,,93905,,9bb33a4b1b4a49b0
-121.6113619,36.674617,102,TORO AVENUE,,Salinas,,,93905,,0f54099b5c950040
-121.8068761,36.6388288,351,CARENTAN ROAD,,Seaside,,,93955,,0cc011baa9f2fe60
-121.6614944,36.6786613,22,CAPITOL STREET,D,Salinas,,,93901,,33af46aaa18fda1a
